"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"266",12,"Khalil Herbert",IND,"26.5","0","0","10","25","0","36","130","1"
"267",12,"Cleveland Browns",CLE,"81","0","0","0","0","0","0","0","0"
"268",12,"Nick Westbrook-Ikhine",MIA,"119.7","0","0","32","497","9","0","0","0"
"269",12,"Brashard Smith",KC,"0","0","0","0","0","0","0","0","0"
"270",12,"Sean Tucker",TB,"64.2","0","0","9","109","1","50","308","2"
"271",12,"Mike Williams",LAC,"46.3","0","0","21","298","1","0","0","0"
"272",12,"Ty Johnson",BUF,"82.7","0","0","18","284","3","41","213","1"
"273",12,"Noah Fant",SEA,"80","0","0","48","500","1","0","0","0"
"274",12,"Jalen Royals",KC,"0","0","0","0","0","0","0","0","0"
"275",12,"Elijah Moore",BUF,"90.4","0","0","61","538","1","1","1","0"
"276",12,"Dyami Brown",JAC,"52.4","0","0","30","308","1","3","26","0"
"277",12,"Zack Moss",CIN,"70.4","0","0","23","187","1","74","242","2"
"278",12,"Matt Gay",WAS,"139","0","0","0","0","0","0","0","0"
"279",12,"Isaiah Davis",NYJ,"41.4","0","0","9","75","1","30","174","1"
"280",12,"Harold Fannin Jr.",CLE,"0","0","0","0","0","0","0","0","0"
"281",12,"Jordan James",SF,"0","0","0","0","0","0","0","0","0"
"282",12,"Malik Washington",MIA,"41.8","0","0","26","223","0","5","25","1"
"283",12,"Woody Marks",HOU,"0","0","0","0","0","0","0","0","0"
"284",12,"Tyler Shough",NO,"0","0","0","0","0","0","0","0","0"
"285",12,"Chicago Bears",CHI,"121","0","0","0","0","0","0","0","0"
"286",13,"Kimani Vidal",LAC,"30.2","0","0","5","62","1","43","155","0"
"287",13,"Joe Flacco",CLE,"106","1761","12","0","0","0","9","26","0"
"288",13,"Tim Patrick",DET,"75.9","0","0","33","394","3","0","0","0"
"289",13,"Tre Tucker",LV,"105.8","0","0","47","539","3","9","44","1"
"290",13,"Dameon Pierce",HOU,"42.5","0","0","2","2","0","40","293","2"
"291",13,"Sincere McCormick",LV,"24.2","0","0","6","29","0","39","183","0"
"292",13,"Theo Johnson",NYG,"53.6","0","0","29","331","1","0","0","0"
"293",13,"Terrance Ferguson",LAR,"0","0","0","0","0","0","0","0","0"
"294",13,"Alexander Mattison",MIA,"119.4","0","0","36","294","1","132","420","4"
"295",13,"Taysom Hill",NO,"91.8","0","0","23","187","0","39","278","6"
"296",13,"Xavier Restrepo",TEN,"0","0","0","0","0","0","0","0","0"
"297",13,"Jaxson Dart",NYG,"0","0","0","0","0","0","0","0","0"
"298",13,"Daniel Carlson",LV,"145","0","0","0","0","0","0","0","0"
"299",13,"Christian Watson",GB,"90.8","0","0","29","620","2","4","23","0"
"300",13,"Gabe Davis",FA,"43.9","0","0","20","239","2","0","0","0"
"301",13,"Parker Washington",JAC,"81","0","0","32","390","3","0","0","0"
